subscriber_id,cohort_month,city,channel,category,plan_tenure_months,monthly_rental_inr,first_delivery_delay_days,nps_score,payment_failures_90d,swap_requests_60d,support_tickets_60d,subscriber_age,churn_month,is_churned,months_observable,months_active,revenue_inr
117,2024-01-01,Mumbai,Google_Ads,Sofa,12,1778,1,9,0,0,1,24,,0,28,28,49784
118,2024-02-01,Bengaluru,Google_Ads,Sofa,12,1346,0,7,0,1,0,21,,0,27,27,36342
119,2024-03-01,Pune,Meta_Ads,Sofa,3,1499,1,8,0,0,0,30,,0,26,26,38974
120,2024-02-01,Bengaluru,Organic,Full_Home,12,4341,3,7,0,1,2,23,10.0,1,27,10,43410
121,2024-06-01,Bengaluru,Organic,Full_Home,6,4310,0,1,1,0,1,31,1.0,1,23,1,4310
122,2024-09-01,Mumbai,Google_Ads,Full_Home,6,4313,5,7,0,0,1,28,3.0,1,20,3,12939
123,2024-08-01,Hyderabad,Meta_Ads,Full_Home,12,3423,4,6,0,1,1,35,6.0,1,21,6,20538
124,2024-06-01,Mumbai,Google_Ads,Full_Home,12,4427,1,8,0,1,1,34,5.0,1,23,5,22135
125,2024-11-01,Bengaluru,Meta_Ads,Full_Home,6,4443,1,1,2,0,2,21,2.0,1,18,2,8886
126,2024-07-01,Mumbai,Meta_Ads,Sofa,12,1560,2,7,0,0,0,27,8.0,1,22,8,12480
127,2024-01-01,Bengaluru,Google_Ads,Bed,6,1437,0,7,1,0,0,23,,0,28,28,40236
128,2024-10-01,Bengaluru,Google_Ads,Full_Home,12,3400,0,8,0,0,0,31,,0,19,19,64600
129,2024-07-01,Delhi,Direct,Wardrobe,6,907,6,1,1,0,1,23,1.0,1,22,1,907
130,2024-08-01,Bengaluru,Meta_Ads,Study,6,788,3,1,0,0,2,35,1.0,1,21,1,788
131,2024-07-01,Mumbai,Meta_Ads,Dining,3,1534,0,6,1,0,1,21,1.0,1,22,1,1534
132,2024-07-01,Delhi,Google_Ads,Bed,12,1197,1,1,1,0,1,28,1.0,1,22,1,1197
133,2024-02-01,Hyderabad,Google_Ads,Bed,12,1189,0,7,0,0,0,25,,0,27,27,32103
134,2024-07-01,Bengaluru,Meta_Ads,Full_Home,3,3986,5,7,0,0,1,27,9.0,1,22,9,35874
135,2024-10-01,Mumbai,Direct,Wardrobe,6,1067,3,7,0,0,2,26,,0,19,19,20273
136,2024-04-01,Bengaluru,Google_Ads,Bed,6,1351,3,8,0,0,1,29,,0,25,25,33775
137,2024-08-01,Chennai,Google_Ads,Dining,3,1828,1,8,1,0,0,23,,0,21,21,38388
138,2024-01-01,Bengaluru,Direct,Bed,3,1283,0,8,0,0,2,26,8.0,1,28,8,10264
139,2024-05-01,Bengaluru,Meta_Ads,Wardrobe,12,992,0,6,0,0,1,39,,0,24,24,23808
140,2024-06-01,Mumbai,Google_Ads,Study,6,768,0,6,0,1,0,29,10.0,1,23,10,7680
141,2024-12-01,Bengaluru,Organic,Wardrobe,6,1115,0,8,0,0,1,38,,0,17,17,18955
142,2024-03-01,Bengaluru,Meta_Ads,Full_Home,12,4242,1,7,0,0,2,29,3.0,1,26,3,12726
143,2024-04-01,Bengaluru,Direct,Wardrobe,3,893,1,4,1,3,0,26,1.0,1,25,1,893
144,2024-05-01,Delhi,Google_Ads,Full_Home,6,3667,1,1,0,0,1,23,1.0,1,24,1,3667
145,2024-12-01,Delhi,Referral,Full_Home,12,3639,4,7,0,2,1,32,,0,17,17,61863
146,2024-11-01,Delhi,Google_Ads,Full_Home,12,3970,1,8,0,0,0,37,,0,18,18,71460
147,2024-01-01,Hyderabad,Referral,Full_Home,3,3452,4,8,0,0,1,35,22.0,1,28,22,75944
148,2024-03-01,Mumbai,Referral,Dining,3,1795,2,1,0,0,1,33,4.0,1,26,4,7180
149,2024-10-01,Chennai,Referral,Wardrobe,12,960,3,6,0,1,2,36,,0,19,19,18240
150,2024-01-01,Hyderabad,Referral,Dining,3,1873,2,3,1,0,0,33,1.0,1,28,1,1873
151,2024-11-01,Pune,Organic,Sofa,6,1417,0,9,0,1,0,34,12.0,1,18,12,17004
152,2024-04-01,Hyderabad,Google_Ads,Sofa,3,1466,0,8,0,0,0,34,4.0,1,25,4,5864
153,2024-12-01,Mumbai,Google_Ads,Sofa,12,1757,0,1,0,1,0,34,1.0,1,17,1,1757
154,2024-04-01,Mumbai,Meta_Ads,Full_Home,6,3635,2,8,0,1,1,23,12.0,1,25,12,43620
155,2024-06-01,Mumbai,Meta_Ads,Sofa,6,1718,0,9,0,0,1,26,4.0,1,23,4,6872
156,2024-08-01,Bengaluru,Google_Ads,Dining,12,1444,0,9,0,0,0,39,5.0,1,21,5,7220
157,2024-02-01,Mumbai,Organic,Sofa,3,1534,1,1,0,1,0,26,2.0,1,27,2,3068
158,2024-07-01,Bengaluru,Organic,Sofa,6,1733,0,8,0,0,0,23,12.0,1,22,12,20796
159,2024-07-01,Bengaluru,Direct,Wardrobe,12,905,0,5,1,2,0,32,5.0,1,22,5,4525
160,2024-10-01,Chennai,Meta_Ads,Full_Home,6,3452,3,4,2,0,2,28,8.0,1,19,8,27616
161,2024-12-01,Hyderabad,Referral,Bed,3,1213,2,1,1,0,0,38,1.0,1,17,1,1213
162,2024-08-01,Delhi,Organic,Full_Home,12,3766,3,6,1,3,1,21,,0,21,21,79086
163,2024-05-01,Mumbai,Direct,Sofa,3,1488,0,1,0,1,0,23,1.0,1,24,1,1488
164,2024-05-01,Delhi,Organic,Wardrobe,6,1109,2,7,0,1,0,40,,0,24,24,26616
165,2024-06-01,Pune,Google_Ads,Sofa,3,1299,0,1,0,0,1,24,1.0,1,23,1,1299
166,2024-10-01,Delhi,Google_Ads,Bed,12,1364,2,8,0,0,0,26,,0,19,19,25916
167,2024-04-01,Delhi,Direct,Sofa,3,1655,3,7,1,0,1,27,14.0,1,25,14,23170
168,2024-03-01,Mumbai,Organic,Sofa,3,1698,0,6,0,0,1,21,6.0,1,26,6,10188
169,2024-05-01,Mumbai,Referral,Study,6,1068,2,6,0,0,0,32,8.0,1,24,8,8544
170,2024-01-01,Hyderabad,Referral,Study,6,1024,0,1,0,0,0,22,1.0,1,28,1,1024
171,2024-02-01,Chennai,Organic,Sofa,12,1328,4,1,0,0,2,32,5.0,1,27,5,6640
172,2024-02-01,Mumbai,Organic,Full_Home,6,3645,0,9,0,0,1,21,,0,27,27,98415
173,2024-10-01,Mumbai,Direct,Study,6,991,3,7,2,0,2,33,3.0,1,19,3,2973
174,2024-09-01,Mumbai,Direct,Bed,3,1200,2,7,0,0,1,28,19.0,1,20,19,22800
175,2024-09-01,Mumbai,Meta_Ads,Bed,12,1216,3,7,0,0,1,28,15.0,1,20,15,18240
176,2024-06-01,Chennai,Google_Ads,Bed,6,1490,0,6,1,0,0,32,11.0,1,23,11,16390
177,2024-09-01,Hyderabad,Google_Ads,Full_Home,6,4045,2,9,0,0,0,34,,0,20,20,80900
178,2024-02-01,Mumbai,Meta_Ads,Wardrobe,3,988,2,1,0,0,1,29,1.0,1,27,1,988
179,2024-11-01,Mumbai,Referral,Sofa,12,1520,2,8,0,1,1,29,11.0,1,18,11,16720
180,2024-07-01,Mumbai,Referral,Sofa,6,1409,3,1,0,0,1,26,1.0,1,22,1,1409
181,2024-12-01,Bengaluru,Meta_Ads,Bed,3,1144,2,1,0,1,4,31,1.0,1,17,1,1144
182,2024-02-01,Delhi,Google_Ads,Bed,3,1548,3,1,0,0,2,37,1.0,1,27,1,1548
183,2024-06-01,Pune,Meta_Ads,Dining,6,1523,2,6,1,1,0,32,,0,23,23,35029
184,2024-09-01,Delhi,Referral,Full_Home,3,4116,4,4,0,1,1,23,1.0,1,20,1,4116
185,2024-06-01,Bengaluru,Organic,Bed,6,1131,1,8,0,0,1,29,1.0,1,23,1,1131
186,2024-06-01,Hyderabad,Google_Ads,Bed,6,1172,4,5,0,0,1,25,21.0,1,23,21,24612
187,2024-02-01,Hyderabad,Meta_Ads,Sofa,6,1328,2,7,0,0,0,23,7.0,1,27,7,9296
188,2024-05-01,Bengaluru,Meta_Ads,Bed,12,1127,0,1,0,0,2,27,1.0,1,24,1,1127
189,2024-03-01,Delhi,Meta_Ads,Study,6,969,5,1,0,0,1,31,1.0,1,26,1,969
190,2024-04-01,Delhi,Referral,Full_Home,3,3423,3,1,2,1,1,33,1.0,1,25,1,3423
191,2024-09-01,Pune,Direct,Full_Home,6,4039,1,5,0,0,2,32,14.0,1,20,14,56546
192,2024-08-01,Bengaluru,Google_Ads,Sofa,12,1623,1,8,1,0,0,25,,0,21,21,34083
193,2024-08-01,Bengaluru,Google_Ads,Full_Home,12,3907,3,6,0,0,2,24,6.0,1,21,6,23442
194,2024-05-01,Mumbai,Meta_Ads,Full_Home,12,3609,1,7,0,1,2,22,22.0,1,24,22,79398
195,2024-12-01,Bengaluru,Google_Ads,Sofa,12,1391,3,8,0,0,1,28,,0,17,17,23647
196,2024-02-01,Mumbai,Meta_Ads,Full_Home,3,3614,2,6,0,1,1,32,,0,27,27,97578
197,2024-05-01,Hyderabad,Google_Ads,Study,3,857,2,7,1,0,1,32,2.0,1,24,2,1714
198,2024-02-01,Bengaluru,Google_Ads,Full_Home,3,3898,0,9,0,0,0,24,,0,27,27,105246
199,2024-05-01,Mumbai,Referral,Wardrobe,3,988,1,5,0,0,1,38,5.0,1,24,5,4940
200,2024-12-01,Chennai,Google_Ads,Sofa,12,1391,4,6,0,0,1,30,,0,17,17,23647
201,2024-05-01,Delhi,Referral,Full_Home,3,3727,2,7,0,0,0,33,1.0,1,24,1,3727
202,2024-11-01,Mumbai,Google_Ads,Wardrobe,6,1073,2,9,0,0,1,32,,0,18,18,19314
203,2024-06-01,Delhi,Google_Ads,Full_Home,3,3431,5,1,0,0,2,21,1.0,1,23,1,3431
204,2024-09-01,Bengaluru,Google_Ads,Sofa,12,1506,0,6,0,2,0,33,18.0,1,20,18,27108
205,2024-06-01,Bengaluru,Google_Ads,Bed,12,1527,1,8,0,0,1,37,9.0,1,23,9,13743
206,2024-04-01,Delhi,Meta_Ads,Study,12,1004,4,6,0,0,1,24,5.0,1,25,5,5020
207,2024-10-01,Mumbai,Referral,Dining,6,1545,2,7,0,0,0,24,,0,19,19,29355
208,2024-12-01,Mumbai,Direct,Wardrobe,12,1041,0,7,1,0,0,31,,0,17,17,17697
209,2024-04-01,Bengaluru,Google_Ads,Study,12,1073,0,9,0,0,0,29,,0,25,25,26825
210,2024-10-01,Pune,Google_Ads,Study,6,990,0,1,0,0,0,32,1.0,1,19,1,990
211,2024-04-01,Bengaluru,Google_Ads,Dining,6,1689,0,9,0,0,3,23,,0,25,25,42225
212,2024-09-01,Hyderabad,Organic,Bed,6,1358,4,1,0,0,1,33,2.0,1,20,2,2716
213,2024-10-01,Mumbai,Google_Ads,Dining,12,1860,0,6,2,1,0,21,7.0,1,19,7,13020
214,2024-06-01,Delhi,Google_Ads,Dining,12,1468,4,6,0,1,1,27,8.0,1,23,8,11744
215,2024-09-01,Bengaluru,Referral,Full_Home,6,4209,2,1,0,0,0,31,1.0,1,20,1,4209
216,2024-04-01,Bengaluru,Referral,Study,6,874,0,1,0,0,1,25,8.0,1,25,8,6992
217,2024-01-01,Delhi,Organic,Wardrobe,3,1013,3,6,0,0,2,29,16.0,1,28,16,16208
218,2024-02-01,Hyderabad,Google_Ads,Sofa,12,1295,0,1,0,0,0,35,2.0,1,27,2,2590
219,2024-06-01,Bengaluru,Meta_Ads,Sofa,6,1690,1,8,0,0,2,25,12.0,1,23,12,20280
220,2024-11-01,Mumbai,Google_Ads,Bed,12,1188,2,7,1,0,1,27,,0,18,18,21384
221,2024-02-01,Mumbai,Organic,Dining,6,1674,1,5,1,0,0,21,4.0,1,27,4,6696
222,2024-06-01,Bengaluru,Organic,Full_Home,6,4691,0,1,0,0,0,30,2.0,1,23,2,9382
223,2024-09-01,Delhi,Google_Ads,Full_Home,6,3760,0,7,1,0,1,36,,0,20,20,75200
224,2024-03-01,Bengaluru,Referral,Dining,3,1543,5,6,1,0,1,23,23.0,1,26,23,35489
225,2024-09-01,Delhi,Meta_Ads,Study,6,892,4,6,0,0,1,26,7.0,1,20,7,6244
226,2024-04-01,Bengaluru,Referral,Dining,6,1664,0,1,0,1,0,35,1.0,1,25,1,1664
227,2024-10-01,Mumbai,Google_Ads,Wardrobe,6,930,3,6,0,0,1,37,,0,19,19,17670
228,2024-07-01,Mumbai,Meta_Ads,Dining,6,1772,4,7,1,1,2,29,12.0,1,22,12,21264
229,2024-07-01,Mumbai,Google_Ads,Bed,6,1390,3,6,1,1,2,24,5.0,1,22,5,6950
230,2024-03-01,Mumbai,Organic,Wardrobe,12,882,1,1,0,0,0,27,2.0,1,26,2,1764
231,2024-06-01,Chennai,Google_Ads,Full_Home,3,4112,1,8,0,0,1,32,1.0,1,23,1,4112
232,2024-11-01,Mumbai,Meta_Ads,Dining,12,1561,2,5,2,0,1,25,10.0,1,18,10,15610
233,2024-01-01,Pune,Referral,Sofa,6,1458,1,8,0,0,0,26,,0,28,28,40824
234,2024-10-01,Bengaluru,Organic,Wardrobe,6,1193,3,1,0,0,1,25,1.0,1,19,1,1193
235,2024-06-01,Mumbai,Organic,Full_Home,3,3967,1,7,1,0,0,34,,0,23,23,91241
236,2024-09-01,Bengaluru,Organic,Sofa,3,1287,2,4,1,0,2,30,1.0,1,20,1,1287
237,2024-08-01,Mumbai,Organic,Full_Home,12,3896,3,7,0,1,1,26,11.0,1,21,11,42856
238,2024-06-01,Delhi,Organic,Full_Home,12,4238,0,1,0,0,0,30,1.0,1,23,1,4238
239,2024-04-01,Pune,Meta_Ads,Dining,6,1655,2,6,1,0,0,32,17.0,1,25,17,28135
240,2024-08-01,Delhi,Google_Ads,Bed,3,1139,5,8,0,0,1,21,,0,21,21,23919
241,2024-02-01,Delhi,Meta_Ads,Sofa,12,1362,1,9,0,0,0,31,,0,27,27,36774
242,2024-08-01,Bengaluru,Google_Ads,Sofa,12,1678,0,9,0,0,2,36,,0,21,21,35238
243,2024-02-01,Bengaluru,Meta_Ads,Bed,6,1107,3,8,0,1,1,25,16.0,1,27,16,17712
244,2024-08-01,Hyderabad,Meta_Ads,Full_Home,3,3722,5,9,0,0,2,25,20.0,1,21,20,74440
245,2024-08-01,Bengaluru,Google_Ads,Full_Home,6,4772,0,7,1,0,2,35,2.0,1,21,2,9544
246,2024-02-01,Bengaluru,Referral,Sofa,12,1618,3,6,1,1,2,21,20.0,1,27,20,32360
247,2024-10-01,Chennai,Organic,Wardrobe,3,935,0,5,0,1,0,41,3.0,1,19,3,2805
248,2024-05-01,Chennai,Meta_Ads,Wardrobe,3,917,2,4,1,0,0,23,16.0,1,24,16,14672
249,2024-10-01,Delhi,Direct,Bed,12,1294,0,10,0,0,0,26,,0,19,19,24586
250,2024-01-01,Mumbai,Google_Ads,Wardrobe,6,1075,0,7,0,0,0,24,11.0,1,28,11,11825
251,2024-03-01,Pune,Google_Ads,Full_Home,3,3639,1,8,1,0,1,22,6.0,1,26,6,21834
